,Common_growth_component_median,Recession_prob_filtered_median,Common_growth_component_mean,Recession_prob_filtered_mean
1960-09-30,-1.6033086959028928,0.4381824137100291,-1.5970807907080362,0.46140299819527236
1960-10-31,-1.2366537968390108,0.4339427427050249,-1.2257161473636602,0.44927975267318476
1960-11-30,-2.6561124131544984,0.936654275958979,-2.6492621216007035,0.795567827802406
1960-12-31,-3.5246919292811056,0.9977808259330246,-3.5225407455221496,0.9742988452628982
1961-01-31,0.06575486708761327,0.11189493433796294,0.03527157343990712,0.22578101181395507
1961-02-28,-1.1193260004290415,0.1675217865898887,-1.1464672009734251,0.30124761827945884
1961-03-31,0.8642515358004867,0.00279158352990853,0.8633156149180534,0.023524770063053462
1961-04-30,1.4938343713013273,8.958412544095024e-05,1.4965156997653457,0.001100164369188552
1961-05-31,1.4153302929518854,7.012271695103072e-05,1.4148727508845929,0.00036847286567413064
1961-06-30,1.4515455901075702,5.968759953886694e-05,1.4523904510675123,0.0002637771219006009
1961-07-31,1.0707942291014168,0.0001568069663865817,1.0679006355115679,0.0006938147960235475
1961-08-31,0.3452413578471064,0.0008362135186086275,0.34611607316070825,0.0033555766235297203
1961-09-30,-0.43828403348357164,0.0050110443204072,-0.4355654646964969,0.015499210369677144
1961-10-31,3.821707455588467,2.964995303543375e-07,3.8298054149825087,3.917315254710299e-06
1961-11-30,0.9118463900826337,0.0006027233824095496,0.9120964837135122,0.0026282709670801354
1961-12-31,0.4008440650347962,0.0007945896963751217,0.3983498349735071,0.003111636501504504
1962-01-31,-1.0976544889492685,0.02479318719258243,-1.0979130922919265,0.06469584290152738
1962-02-28,1.3006998105355714,0.00020193830882303347,1.2997520709858599,0.0012556141957101605
1962-03-31,0.6190925541433301,0.0004782672202063463,0.6192533199700095,0.0018909996726704003
1962-04-30,0.5667591090164446,0.0004418603382918413,0.5664775795519794,0.0017152682627458934
1962-05-31,0.02616334692128316,0.0016202744237817379,0.02902332648491458,0.005991101235189363
1962-06-30,-0.5993578312398702,0.007261290471448561,-0.5984127039573389,0.022164822919219382
1962-07-31,0.7438993357838866,0.00037643685442873806,0.7490714606714055,0.0018274789575422562
1962-08-31,-0.33739100765623087,0.004345940956860778,-0.33981314174275357,0.014762823848827846
1962-09-30,0.3154350978589422,0.0009480926381585678,0.311026354467815,0.0038803652407656715
1962-10-31,-0.14784588863264242,0.0024571993918139664,-0.14903524714663038,0.008641282246011467
1962-11-30,0.1540456618414156,0.001219024203460649,0.1522287243613549,0.00472427025379978
1962-12-31,-0.18492233177137174,0.002675471647893249,-0.18768873580082077,0.008968263787473776
1963-01-31,-0.002418966983034291,0.001764013594025771,-0.00047571810235735683,0.006657479522249199
1963-02-28,0.7104887714668969,0.0003139525062941076,0.7027679533067577,0.001422746315272189
1963-03-31,0.5294231575695187,0.0004734131559212721,0.5345426188779324,0.0018554721760480296
1963-04-30,0.8967756764808644,0.00018961381864563586,0.8949123521120795,0.0008265848355928238
1963-05-31,0.8210605283964112,0.00024598007453625437,0.81855709100052,0.001027852597698651
