location,name,freq,weighting,n_factors,date,ret
usa,accruals,monthly,vw_cap,6,1960-06-30,0.0119545406175087
usa,accruals,monthly,vw_cap,6,1960-07-31,0.00979037862986665
usa,accruals,monthly,vw_cap,6,1960-08-31,0.00510632488587101
usa,accruals,monthly,vw_cap,6,1960-09-30,0.00563185118072966
usa,accruals,monthly,vw_cap,6,1960-10-31,0.0115980207754032
usa,accruals,monthly,vw_cap,6,1960-11-30,-0.00995404922344118
usa,accruals,monthly,vw_cap,6,1960-12-31,-0.00238137316924796
usa,accruals,monthly,vw_cap,6,1961-01-31,-0.00473436719423389
usa,accruals,monthly,vw_cap,6,1961-02-28,-0.015134128659326
usa,accruals,monthly,vw_cap,6,1961-03-31,0.00146387336643685
usa,accruals,monthly,vw_cap,6,1961-04-30,0.00431852829765495
usa,accruals,monthly,vw_cap,6,1961-05-31,-0.00844223293103367
usa,accruals,monthly,vw_cap,6,1961-06-30,0.011365518030833
usa,accruals,monthly,vw_cap,6,1961-07-31,0.00769922724155509
usa,accruals,monthly,vw_cap,6,1961-08-31,-0.00372236598533398
usa,accruals,monthly,vw_cap,6,1961-09-30,0.00288514422793848
usa,accruals,monthly,vw_cap,6,1961-10-31,0.0260574587829552
usa,accruals,monthly,vw_cap,6,1961-11-30,-0.00414752289437864
usa,accruals,monthly,vw_cap,6,1961-12-31,0.00941484446919302
usa,accruals,monthly,vw_cap,6,1962-01-31,0.0171108423870863
usa,accruals,monthly,vw_cap,6,1962-02-28,-0.00551536399969838
usa,accruals,monthly,vw_cap,6,1962-03-31,0.00553808473922248
usa,accruals,monthly,vw_cap,6,1962-04-30,0.00527955195186602
usa,accruals,monthly,vw_cap,6,1962-05-31,0.0188492797642016
usa,accruals,monthly,vw_cap,6,1962-06-30,0.0191263108043053
usa,accruals,monthly,vw_cap,6,1962-07-31,-0.00481608426025194
usa,accruals,monthly,vw_cap,6,1962-08-31,-0.00754361197826293
usa,accruals,monthly,vw_cap,6,1962-09-30,0.0064405949877231
usa,accruals,monthly,vw_cap,6,1962-10-31,0.00855193755476931
usa,accruals,monthly,vw_cap,6,1962-11-30,-0.00357184813439019
usa,accruals,monthly,vw_cap,6,1962-12-31,0.00196745414033945
usa,accruals,monthly,vw_cap,6,1963-01-31,0.000820896876441416
usa,accruals,monthly,vw_cap,6,1963-02-28,0.00873880652173582
usa,accruals,monthly,vw_cap,6,1963-03-31,0.00276665792637154
usa,accruals,monthly,vw_cap,6,1963-04-30,0.0148798522181916
usa,accruals,monthly,vw_cap,6,1963-05-31,0.00655696410783021
usa,accruals,monthly,vw_cap,6,1963-06-30,-0.00179371155947941
usa,accruals,monthly,vw_cap,6,1963-07-31,-0.00163263473893364
usa,accruals,monthly,vw_cap,6,1963-08-31,0.000323314646005562
usa,accruals,monthly,vw_cap,6,1963-09-30,0.00211578861182551
usa,accruals,monthly,vw_cap,6,1963-10-31,0.0158098589586112
usa,accruals,monthly,vw_cap,6,1963-11-30,-0.00824083021778349
usa,accruals,monthly,vw_cap,6,1963-12-31,0.0183833217157922
usa,accruals,monthly,vw_cap,6,1964-01-31,0.00920218150223289
usa,accruals,monthly,vw_cap,6,1964-02-29,0.00902273874054822
usa,accruals,monthly,vw_cap,6,1964-03-31,0.0136163109033613
usa,accruals,monthly,vw_cap,6,1964-04-30,-0.00889908583139881
usa,accruals,monthly,vw_cap,6,1964-05-31,-0.000368349329800714
usa,accruals,monthly,vw_cap,6,1964-06-30,-0.00347445200015443
usa,accruals,monthly,vw_cap,6,1964-07-31,0.00332686145388529
usa,accruals,monthly,vw_cap,6,1964-08-31,0.000442959343454317
usa,accruals,monthly,vw_cap,6,1964-09-30,0.00340205089420466
usa,accruals,monthly,vw_cap,6,1964-10-31,0.00487018012302676
usa,accruals,monthly,vw_cap,6,1964-11-30,-0.00135595014810784
usa,accruals,monthly,vw_cap,6,1964-12-31,-0.0116303952008302
usa,accruals,monthly,vw_cap,6,1965-01-31,-0.00443810820748408
usa,accruals,monthly,vw_cap,6,1965-02-28,0.000874520893170486
usa,accruals,monthly,vw_cap,6,1965-03-31,0.00249674775080882
usa,accruals,monthly,vw_cap,6,1965-04-30,-0.0107736249864466
usa,accruals,monthly,vw_cap,6,1965-05-31,0.00550285219829171
usa,accruals,monthly,vw_cap,6,1965-06-30,0.00250032940994992
usa,accruals,monthly,vw_cap,6,1965-07-31,0.00901903715468423
usa,accruals,monthly,vw_cap,6,1965-08-31,-0.0046649519805568
usa,accruals,monthly,vw_cap,6,1965-09-30,0.000308956792872271
usa,accruals,monthly,vw_cap,6,1965-10-31,0.00166341849286838
usa,accruals,monthly,vw_cap,6,1965-11-30,0.0085800318294625
usa,accruals,monthly,vw_cap,6,1965-12-31,-0.00545687809229291
usa,accruals,monthly,vw_cap,6,1966-01-31,0.00216878371148346
usa,accruals,monthly,vw_cap,6,1966-02-28,-0.00633735956816159
usa,accruals,monthly,vw_cap,6,1966-03-31,0.00880794167205411
usa,accruals,monthly,vw_cap,6,1966-04-30,0.00427780759521796
usa,accruals,monthly,vw_cap,6,1966-05-31,0.00440438245107961
usa,accruals,monthly,vw_cap,6,1966-06-30,-0.00102467178864312
usa,accruals,monthly,vw_cap,6,1966-07-31,0.0086211079264797
usa,accruals,monthly,vw_cap,6,1966-08-31,0.00352030912765722
usa,accruals,monthly,vw_cap,6,1966-09-30,0.0175348658560022
usa,accruals,monthly,vw_cap,6,1966-10-31,0.0194240844532816
usa,accruals,monthly,vw_cap,6,1966-11-30,-0.0213475640848439
usa,accruals,monthly,vw_cap,6,1966-12-31,-0.00476238660340794
usa,accruals,monthly,vw_cap,6,1967-01-31,-0.011057245443404
usa,accruals,monthly,vw_cap,6,1967-02-28,-0.00620515572244612
usa,accruals,monthly,vw_cap,6,1967-03-31,-0.00631723926481424
usa,accruals,monthly,vw_cap,6,1967-04-30,-0.00590575107609898
usa,accruals,monthly,vw_cap,6,1967-05-31,0.00457201962992645
usa,accruals,monthly,vw_cap,6,1967-06-30,-0.00785771479048984
usa,accruals,monthly,vw_cap,6,1967-07-31,0.00679139851741828
usa,accruals,monthly,vw_cap,6,1967-08-31,0.00419048266457508
usa,accruals,monthly,vw_cap,6,1967-09-30,-0.0124513505535113
usa,accruals,monthly,vw_cap,6,1967-10-31,-0.00438537887841822
usa,accruals,monthly,vw_cap,6,1967-11-30,-0.00433051029385453
usa,accruals,monthly,vw_cap,6,1967-12-31,0.00910535103138186
usa,accruals,monthly,vw_cap,6,1968-01-31,0.0376874209943612
usa,accruals,monthly,vw_cap,6,1968-02-29,0.0140310258824922
usa,accruals,monthly,vw_cap,6,1968-03-31,-0.0057647542578538
usa,accruals,monthly,vw_cap,6,1968-04-30,-0.0197355538273737
usa,accruals,monthly,vw_cap,6,1968-05-31,-0.0132122508715278
usa,accruals,monthly,vw_cap,6,1968-06-30,0.01398826737283
usa,accruals,monthly,vw_cap,6,1968-07-31,0.0201934330366488
usa,accruals,monthly,vw_cap,6,1968-08-31,0.0166727173875142
usa,accruals,monthly,vw_cap,6,1968-09-30,0.00166346061401309
usa,accruals,monthly,vw_cap,6,1968-10-31,0.00658185281415689
usa,accruals,monthly,vw_cap,6,1968-11-30,-0.0107597846010108
usa,accruals,monthly,vw_cap,6,1968-12-31,0.00773071013017973
usa,accruals,monthly,vw_cap,6,1969-01-31,0.00696712398406933
usa,accruals,monthly,vw_cap,6,1969-02-28,0.010320588371219
usa,accruals,monthly,vw_cap,6,1969-03-31,-0.0031908376908422
usa,accruals,monthly,vw_cap,6,1969-04-30,-0.00142257698495406
usa,accruals,monthly,vw_cap,6,1969-05-31,0.0047931356464363
usa,accruals,monthly,vw_cap,6,1969-06-30,0.0103891853663126
usa,accruals,monthly,vw_cap,6,1969-07-31,0.0138216117512475
usa,accruals,monthly,vw_cap,6,1969-08-31,-0.0122859414895008
